Date,Open,High,Low,Close,Adj Close,Volume
2016-01-18,21.687500,22.187500,21.250000,22.187500,16.802080,368000
2016-01-19,22.250000,22.250000,21.812500,22.250000,16.849407,157600
2016-01-20,22.375000,22.375000,21.875000,22.000000,16.660089,276000
2016-01-21,22.000000,22.312500,21.937500,21.937500,16.612761,305600
2016-01-22,22.062500,22.250000,21.937500,22.062500,16.707420,228000
2016-01-25,22.312500,22.750000,22.125000,22.312500,16.896738,475200
2016-01-26,22.312500,22.437500,22.187500,22.375000,16.944069,96800
2016-01-27,22.625000,22.750000,22.312500,22.312500,16.896738,171200
2016-01-28,22.500000,22.625000,22.437500,22.500000,17.038727,143200
2016-01-29,22.500000,22.812500,22.437500,22.687500,17.180719,297600
2016-01-30,null,null,null,null,null,null
2016-02-01,22.437500,23.000000,22.437500,22.937500,17.370037,241600
2016-02-02,22.937500,22.937500,22.500000,22.875000,17.322708,154400
2016-02-03,22.687500,22.875000,22.687500,22.687500,17.180719,214400
2016-02-15,22.687500,23.250000,22.687500,23.062500,17.464697,320800
2016-02-16,23.000000,23.312500,23.000000,23.250000,17.606688,337600
2016-02-17,23.250000,23.312500,23.062500,23.187500,17.559359,215200
2016-02-18,23.187500,23.312500,23.062500,23.250000,17.606688,472000
2016-02-19,23.250000,23.250000,23.062500,23.062500,17.464697,156000
2016-02-22,23.062500,23.250000,23.062500,23.187500,17.559359,220000
2016-02-23,23.250000,23.500000,23.125000,23.125000,17.512028,271200
2016-02-24,23.062500,23.250000,23.062500,23.125000,17.512028,117600
2016-02-25,23.062500,23.250000,23.000000,23.062500,17.464697,342400
2016-02-26,23.125000,23.125000,22.937500,22.937500,17.370037,229600
2016-03-01,22.937500,23.312500,22.937500,23.250000,17.606688,249600
2016-03-02,23.375000,23.375000,23.125000,23.312500,17.654015,378400
2016-03-03,23.375000,23.625000,23.250000,23.625000,17.890667,450400
2016-03-04,23.750000,24.062500,23.750000,23.937500,18.127314,819200
2016-03-07,23.937500,24.187500,23.937500,23.937500,18.127314,368000
2016-03-08,24.000000,24.125000,23.812500,23.937500,18.127314,288800
2016-03-09,24.125000,24.125000,23.750000,23.937500,18.127314,277600
