Date,Open,High,Low,Close,Adj Close,Volume
2016-01-18,58.429100,63.343700,58.429100,62.524601,51.421310,1560249
2016-01-19,62.797699,66.074097,62.524601,65.254997,53.666840,2030887
2016-01-20,64.162804,64.435898,61.432499,61.432499,50.523155,1527286
2016-01-21,61.978600,63.343700,61.159500,61.705502,50.747673,1298376
2016-01-22,62.797699,63.616798,61.705502,62.797699,51.645916,651935
2016-01-25,63.343700,65.254997,63.070702,64.708900,53.217720,1298376
2016-01-26,64.162804,65.528000,63.889801,64.162804,52.768600,842387
2016-01-27,64.708900,64.981903,63.616798,63.889801,52.544079,587840
2016-01-28,63.889801,66.620102,63.889801,66.347099,54.565002,1730557
2016-01-29,66.620102,67.439201,66.074097,66.347099,54.565002,1620681
2016-01-30,null,null,null,null,null,null
2016-02-01,66.893204,68.531403,66.074097,66.620102,54.789528,1629837
2016-02-02,66.620102,67.712303,66.074097,66.074097,54.340481,1184836
2016-02-03,65.801003,65.801003,64.435898,64.708900,53.217720,1150042
2016-02-15,63.889801,64.162804,62.797699,63.070702,51.870438,1743376
2016-02-16,63.889801,65.528000,63.343700,64.435898,52.993198,1783664
2016-02-17,65.528000,65.528000,64.435898,64.708900,53.217720,880844
2016-02-18,65.528000,67.166199,65.254997,66.347099,54.565002,1750701
2016-02-19,66.620102,67.166199,65.801003,66.620102,54.789528,862532
2016-02-22,66.620102,69.350502,66.620102,69.077400,56.810444,2400805
2016-02-23,69.077400,69.350502,67.439201,68.531403,56.361408,1525454
2016-02-24,68.804398,69.623497,68.258301,68.258301,56.136806,1377121
2016-02-25,69.077400,69.077400,67.985298,67.985298,55.912289,825906
2016-02-26,68.531403,68.531403,67.166199,68.258301,56.136806,748992
2016-03-01,68.531403,70.169601,68.258301,69.896500,57.484097,1615187
2016-03-02,70.715599,70.988701,69.623497,69.896500,57.484097,1276400
2016-03-03,70.169601,73.719002,70.169601,72.080803,59.280506,3455621
2016-03-04,72.353798,72.899902,71.534698,72.626900,59.729622,1353314
2016-03-07,73.172897,74.265099,71.807800,71.807800,59.055973,2116957
2016-03-08,72.353798,72.353798,70.169601,71.807800,59.055973,1378952
2016-03-09,71.807800,75.630203,71.807800,74.811096,61.525951,5448052
2016-03-10,74.265099,76.176300,73.991997,75.357201,61.975075,2838481
2016-03-11,75.357201,75.630203,74.265099,75.084198,61.750553,1388108
2016-03-14,76.449303,76.995399,75.084198,76.722397,63.097832,2867781
2016-03-15,76.722397,77.268402,73.172897,73.172897,60.178658,2602246
2016-03-16,73.991997,74.811096,73.445999,73.719002,60.627789,1133561
2016-03-17,74.538101,74.538101,68.804398,71.534698,58.831371,2906238
2016-03-18,71.807800,72.899902,70.715599,72.626900,59.729622,899157
2016-03-21,72.626900,74.538101,72.626900,73.991997,60.852299,919301
2016-03-22,74.265099,74.265099,72.080803,72.353798,59.505024,836894
2016-03-23,72.899902,72.899902,72.353798,72.353798,59.505024,461482
2016-03-24,72.080803,72.353798,71.261703,71.261703,58.606853,670247
2016-03-25,71.534698,72.353798,71.261703,71.261703,58.606853,527408
2016-03-28,71.534698,72.080803,71.261703,71.261703,58.606853,512757
2016-03-29,71.261703,71.534698,69.077400,69.077400,56.810444,1402759
2016-03-30,69.350502,71.534698,69.350502,70.988701,58.382339,875350
2016-03-31,71.534698,71.534698,69.896500,70.442596,57.933212,796606
2016-04-01,70.442596,71.534698,70.169601,70.988701,58.382339,587840
2016-04-06,70.988701,72.353798,70.442596,71.261703,58.606853,1128067
2016-04-07,71.534698,72.080803,70.988701,70.988701,58.382339,505432
2016-04-08,70.988701,71.807800,70.169601,70.715599,58.157738,875350
2016-04-11,70.715599,70.988701,69.623497,69.623497,57.259571,710535
2016-04-12,70.988701,70.988701,69.077400,69.350502,57.035061,657428
2016-04-13,69.623497,70.169601,69.350502,69.623497,57.259571,701379
2016-04-14,70.169601,70.988701,69.896500,69.896500,57.484097,523745
2016-04-15,69.896500,70.715599,69.896500,70.442596,57.933212,393724
2016-04-18,70.169601,70.715599,69.623497,69.896500,57.484097,465144
2016-04-19,70.169601,70.715599,69.623497,69.623497,57.259571,575021
2016-04-20,69.350502,69.896500,66.620102,66.893204,55.014130,2115126
2016-04-21,66.893204,67.439201,65.254997,66.347099,54.565002,1483335
2016-04-22,66.074097,67.439201,65.801003,65.801003,54.115887,855206
2016-04-25,65.528000,66.620102,65.254997,65.801003,54.115887,320473
2016-04-26,66.074097,67.439201,65.801003,66.893204,55.014130,553046
2016-04-27,66.893204,67.439201,66.620102,67.166199,55.238651,349774
2016-04-28,67.166199,67.439201,66.620102,66.620102,54.789528,388230
2016-04-29,65.801003,66.347099,64.435898,64.981903,53.442242,785618
2016-05-03,64.981903,66.620102,64.981903,66.347099,54.565002,699548
2016-05-04,65.801003,67.166199,64.981903,67.166199,55.238651,891832
2016-05-05,70.715599,72.353798,69.896500,71.261703,58.606853,4332804
2016-05-06,70.715599,71.534698,69.896500,71.261703,58.606853,1551092
2016-05-09,71.261703,71.807800,70.169601,71.534698,58.831371,1034672
2016-05-10,71.807800,71.807800,69.077400,70.442596,57.933212,2138932
2016-05-11,70.442596,71.261703,69.896500,70.442596,57.933212,1144548
2016-05-12,70.169601,70.715599,68.531403,69.350502,57.035061,1725064
2016-05-13,69.623497,70.715599,68.804398,70.715599,58.157738,1269075
2016-05-16,70.715599,71.534698,69.896500,70.715599,58.157738,1021853
2016-05-17,70.988701,71.534698,70.442596,71.534698,58.831371,1181174
2016-05-18,71.534698,73.991997,70.988701,72.080803,59.280506,3554510
2016-05-19,72.626900,72.899902,71.534698,71.807800,59.055973,1104260
2016-05-20,71.807800,72.353798,70.988701,72.080803,59.280506,1031009
2016-05-23,71.807800,73.172897,71.534698,73.172897,60.178658,1582224
2016-05-24,73.172897,73.445999,72.626900,72.626900,59.729622,824075
2016-05-25,73.445999,73.991997,72.899902,72.899902,59.954144,1283726
2016-05-26,73.172897,73.172897,71.807800,71.807800,59.055973,1074960
2016-05-27,72.080803,73.172897,71.807800,73.172897,60.178658,1084116
2016-05-30,73.172897,73.445999,72.899902,72.899902,59.954144,886338
2016-05-31,73.172897,73.445999,71.807800,72.353798,59.505024,813087
2016-06-01,72.353798,73.719002,72.080803,73.172897,60.178658,1095104
2016-06-02,73.991997,75.084198,72.899902,72.899902,59.954144,2558295
2016-06-03,73.445999,73.719002,70.988701,71.807800,59.055973,1853253
2016-06-04,null,null,null,null,null,null
2016-06-06,72.353798,72.899902,71.807800,72.080803,59.280506,569527
2016-06-07,72.626900,72.899902,72.080803,72.353798,59.505024,543889
2016-06-08,72.899902,73.445999,72.353798,73.172897,60.178658,822243
2016-06-13,72.353798,72.626900,71.534698,72.353798,59.505024,772799
2016-06-14,71.807800,72.353798,71.807800,71.807800,59.055973,249053
2016-06-15,71.807800,72.080803,71.261703,71.534698,58.831371,586009
2016-06-16,71.807800,72.899902,71.534698,72.080803,59.280506,644609
2016-06-17,72.353798,72.899902,71.261703,71.534698,58.831371,728848
2016-06-20,72.080803,72.080803,71.534698,71.807800,59.055973,388230
2016-06-21,71.807800,73.172897,71.807800,72.626900,59.729622,714198
2016-06-22,72.899902,73.172897,72.080803,72.353798,59.505024,393724
2016-06-23,72.626900,72.899902,72.353798,72.626900,59.729622,426687
2016-06-24,72.899902,72.899902,69.896500,70.442596,57.933212,1514467
2016-06-27,70.715599,71.807800,70.715599,71.261703,58.606853,589671
2016-06-28,70.988701,72.353798,70.988701,72.080803,59.280506,904651
2016-06-29,72.353798,72.899902,72.080803,72.899902,59.954144,536564
2016-06-30,73.719002,73.719002,72.899902,73.445999,60.403263,670247
2016-07-01,73.991997,75.357201,73.719002,73.719002,60.627789,1406421
2016-07-04,73.991997,74.265099,73.445999,73.719002,60.627789,556708
2016-07-05,73.719002,74.265099,73.445999,73.991997,60.852299,406543
2016-07-06,73.445999,73.991997,73.172897,73.172897,60.178658,514589
2016-07-07,73.445999,73.991997,73.172897,73.991997,60.852299,688560
2016-07-08,73.991997,73.991997,73.991997,73.991997,60.852299,0
2016-07-11,74.265099,75.903297,74.265099,74.811096,61.525951,1646319
2016-07-12,74.811096,75.357201,74.265099,75.084198,61.750553,990721
2016-07-13,75.357201,76.995399,74.811096,76.449303,62.873234,2325723
2016-07-14,76.722397,76.995399,75.357201,75.630203,62.199593,772799
2016-07-15,76.449303,77.268402,76.449303,76.995399,63.322346,1159199
2016-07-18,77.541496,79.998802,77.541496,78.087502,64.220520,1877060
2016-07-19,78.087502,78.633598,77.541496,78.360603,64.445114,633622
2016-07-20,78.087502,78.360603,76.995399,77.541496,63.771469,807593
2016-07-21,78.087502,79.725700,78.087502,78.906601,64.894157,1113417
